class,index,true,pred,misclassified,perturb_norm_l2
1,127,1,3,True,792.6527709960938
1,128,1,3,True,747.6983642578125
1,129,1,0,True,752.2512817382812
1,130,1,3,True,795.271240234375
1,131,1,2,True,800.4217529296875
1,132,1,0,True,766.5910034179688
1,133,1,3,True,771.2069091796875
1,134,1,3,True,795.3192749023438
1,135,1,0,True,780.1425170898438
1,136,1,3,True,796.8970947265625
1,137,1,0,True,645.3402099609375
1,138,1,3,True,749.7383422851562
1,139,1,2,True,780.91650390625
1,140,1,2,True,771.939453125
1,141,1,3,True,782.049072265625
1,142,1,3,True,790.2153930664062
1,143,1,3,True,798.9503784179688
1,144,1,0,True,744.4961547851562
1,145,1,3,True,769.5559692382812
1,146,1,3,True,632.5323486328125
1,147,1,3,True,759.6525268554688
1,148,1,3,True,777.3826904296875
1,149,1,3,True,791.4408569335938
1,150,1,3,True,786.8221435546875
1,151,1,2,True,790.0064697265625
1,152,1,0,True,793.6790161132812
1,153,1,0,True,780.7814331054688
1,154,1,2,True,784.9166870117188
1,155,1,3,True,773.2737426757812
1,156,1,3,True,786.8157958984375
1,157,1,3,True,619.4583740234375
1,158,1,0,True,779.5133666992188
1,159,1,2,True,771.0005493164062
1,160,1,3,True,745.1162109375
1,161,1,2,True,791.6568603515625
1,162,1,0,True,380.3326110839844
1,163,1,3,True,772.1904907226562
1,164,1,0,True,700.1607055664062
1,165,1,3,True,799.28076171875
1,166,1,3,True,800.5780029296875
1,167,1,2,True,763.79833984375
1,168,1,3,True,790.1224365234375
1,169,1,7,True,794.1105346679688
1,170,1,2,True,782.9500122070312
1,171,1,0,True,775.6813354492188
1,172,1,3,True,797.0292358398438
1,173,1,3,True,801.3236083984375
1,174,1,3,True,706.508544921875
1,175,1,3,True,796.2935180664062
1,176,1,0,True,728.0327758789062
1,177,1,3,True,792.413818359375
1,178,1,0,True,797.7293701171875
1,179,1,3,True,664.2974853515625
1,180,1,3,True,785.85595703125
1,181,1,0,True,756.3740844726562
1,182,1,3,True,778.2286376953125
1,183,1,3,True,796.1928100585938
1,184,1,3,True,670.622314453125
1,185,1,3,True,770.5487670898438
1,186,1,3,True,788.8805541992188
1,187,1,2,True,792.8511352539062
1,188,1,0,True,482.1942138671875
1,189,1,3,True,790.5599365234375
1,190,1,0,True,762.4844970703125
1,191,1,0,True,791.8715209960938
1,192,1,3,True,776.455322265625
1,193,1,3,True,789.7022705078125
1,194,1,2,True,737.5999145507812
1,195,1,3,True,787.5546264648438
1,196,1,3,True,775.3529052734375
1,197,1,3,True,777.770263671875
1,198,1,3,True,780.9419555664062
1,199,1,2,True,799.7503662109375
